rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate
26,badgalriri,88,4800.0,135300000.0,3700000.0,0.02,0.0,17900000000.0,United States,0.0,3700000.0,2.7346637102734666,0.027346637102734665,3729166.6666666665,3700000.0,,,18.723005100532,8.476579508530941,23.608066549848985,15.123843647884687,,,,,,,,,0,3700000.0
27,kingjames,86,2300.0,130900000.0,2100000.0,0.92,1200000.0,4900000000.0,Unknown,0.0,2100000.0,1.6042780748663104,0.016042780748663103,2130434.782608696,2100000.0,,,18.689944238519548,7.741099090035366,22.312501042267073,14.557448378884015,,,,,,,,,0,2100000.0
28,theellenshow,87,10000.0,125100000.0,420500.0,0.07,81700.0,4200000000.0,United States,0.0,420500.0,0.3361310951239009,0.0033613109512390087,420000.0,420500.0,,,18.644623983430744,9.210440366976517,22.15835036247383,12.949202136513597,,,,,,,,,0,420500.0
29,realmadrid,90,6900.0,123400000.0,996200.0,0.48,588300.0,6800000000.0,Spain,0.0,996200.0,0.8072933549432739,0.00807293354943274,985507.2463768116,996200.0,,,18.63094167753929,8.839421607620602,22.64018844927553,13.811704323435311,,,,,,,,,0,996200.0000000001
30,champagnepapi,85,5200.0,119600000.0,1700000.0,1.1,1300000.0,9000000000.0,Netherlands,0.0,1700000.0,1.4214046822742474,0.014214046822742474,1730769.2307692308,1700000.0,,,18.59966340784201,8.556606193773073,22.920490414393743,14.346139397261565,,,,,,,,,0,1700000.0
31,chrisbrownofficial,86,7300.0,118500000.0,463200.0,0.22,255900.0,3400000000.0,United States,0.0,463200.0,0.39088607594936714,0.003908860759493671,465753.4246575342,463200.0,,,18.590423526978277,8.895766604056085,21.947041268862645,13.045916364133237,,,,,,,,,0,463200.00000000006
32,fcbarcelona,90,10000.0,111400000.0,1200000.0,0.64,706300.0,11600000000.0,Unknown,0.0,1200000.0,1.0771992818671454,0.010771992818671455,1160000.0,1200000.0,,,18.52863789443412,9.210440366976517,23.174270935144936,13.997832948091215,,,,,,,,,0,1200000.0
33,billieeilish,73,690.0,105200000.0,8500000.0,5.02,5200000.0,5900000000.0,Unknown,0.0,8500000.0,8.079847908745247,0.08079847908745247,8550724.63768116,8500000.0,,,18.471373867773586,6.53813982376767,22.498218188027575,15.955576839107596,,,,,,,,,0,8500000.0
34,dualipa,74,1300.0,85900000.0,2100000.0,1.26,1100000.0,2600000000.0,United Kingdom,0.0,2100000.0,2.4447031431897557,0.024447031431897557,2000000.0,2100000.0,,,18.268694398595926,7.170888478512505,21.678777282358464,14.557448378884015,,,,,,,,,0,2100000.0
35,gal_gadot,85,1700.0,85600000.0,1400000.0,0.69,586500.0,2300000000.0,United States,0.0,1400000.0,1.6355140186915886,0.016355140186915886,1352941.1764705882,1400000.0,,,18.265195852794214,7.438971592395862,21.556174960316298,14.151983508870947,,,,,,,,,0,1399999.9999999998
36,vindiesel,88,1800.0,82300000.0,1400000.0,0.6,482300.0,2500000000.0,United States,0.0,1400000.0,1.701093560145808,0.01701093560145808,1388888.888888889,1400000.0,,,18.225881677797968,7.496097345175956,21.639556569220566,14.151983508870947,,,,,,,,,0,1400000.0
37,nasa,88,3600.0,81300000.0,1200000.0,1.53,1200000.0,4200000000.0,United States,0.0,1200000.0,1.4760147601476015,0.014760147601476014,1166666.6666666667,1200000.0,,,18.21365658681816,8.188966863648876,22.15835036247383,13.997832948091215,,,,,,,,,0,1200000.0
38,priyankachopra,85,3600.0,81100000.0,1600000.0,1.0,802900.0,5600000000.0,United States,0.0,1600000.0,1.972872996300863,0.01972872996300863,1555555.5555555555,1600000.0,,,18.211193531416097,8.188966863648876,22.446032434866087,14.285514812209815,,,,,,,,,0,1600000.0
