rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate,followers_log1p,avg_likes_log1p,total_likes_log1p,influence_score_log1p,follower_bin,channel_info_len
152,liverpoolfc,75,10000.0,39900000.0,346700.0,0.42,162900.0,3500000000.0,United Kingdom,0.0,346700.0,0.8689223057644111,0.0086892230576441,350000.0,346700.0,,,17.50188690692275,9.210440366976515,21.97602880572749,12.756218016007,,,,,,,,,0,346700.00000000006,17.50188690692275,12.756218016006999,21.976028805727495,4.330733340286331,q1_small,11
153,teddysphotos,80,2300.0,39900000.0,715500.0,0.46,181100.0,1700000000.0,United States,0.0,715500.0,1.7932330827067668,0.0179323308270676,739130.4347826086,715500.0,,,17.50188690692275,7.741099090035366,21.253894088596816,13.480738275601706,,,,,,,,,0,715499.9999999999,17.50188690692275,13.480738275601706,21.253894088596816,4.394449154672439,q1_small,12
154,worldstar,78,11600.0,39200000.0,157400.0,0.23,84400.0,1800000000.0,United States,0.0,157400.0,0.4015306122448979,0.0040153061224489,155172.41379310345,157400.0,,,17.484187330270895,9.358846580275406,21.311052502404085,11.96655196818541,,,,,,,,,0,157400.0,17.484187330270895,11.96655196818541,21.311052502404085,4.3694478524670215,q1_small,9
155,natashawilona12,84,1200.0,39200000.0,486500.0,0.59,227700.0,563900000.0,Unknown,0.0,486500.0,1.2410714285714286,0.0124107142857142,469916.6666666667,486500.0,,,17.484187330270895,7.090909822079984,20.150387490550774,13.094994236104542,,,,,,,,,0,486500.0,17.484187330270895,13.094994236104542,20.150387490550774,4.442651256490317,q1_small,15
156,mahi7781,58,100.0,39100000.0,4100000.0,0.17,0.0,439400000.0,Unknown,0.0,4100000.0,10.485933503836316,0.1048593350383631,4394000.0,4100000.0,,,17.48163305053104,4.61512051684126,19.900920720190616,15.226497775576943,,,,,,,,,0,4100000.0,17.48163305053104,15.226497775576945,19.900920720190616,4.07753744390572,q1_small,8
157,georginagio,74,730.0,39100000.0,2200000.0,8.56,3300000.0,1600000000.0,Unknown,0.0,2200000.0,5.626598465473146,0.0562659846547314,2191780.821917808,2200000.0,,,17.48163305053104,6.594413459749778,21.193269466817146,14.603968372873895,,,,,,,,,0,2200000.0,17.48163305053104,14.603968372873895,21.193269466817146,4.31748811353631,q1_small,11
158,cznburak,80,1800.0,39000000.0,815800.0,1.01,383300.0,1400000000.0,Unknown,0.0,815800.0,2.091794871794872,0.0209179487179487,777777.7777777778,815800.0,,,17.479072229734946,7.496097345175956,21.05973807428191,13.61192573165548,,,,,,,,,0,815800.0,17.479072229734946,13.611925731655479,21.05973807428191,4.394449154672439,q1_small,8
159,chrissyteigen,79,5100.0,38900000.0,623100.0,0.43,162100.0,3200000000.0,United States,0.0,623100.0,1.6017994858611824,0.0160179948586118,627450.9803921569,623100.0,,,17.476504834295614,8.537191877922927,21.886416647064596,13.342463903409858,,,,,,,,,0,623100.0,17.476504834295614,13.342463903409858,21.886416647064593,4.382026634673881,q1_small,13
160,ruben_onsu,75,13400.0,38800000.0,139300.0,0.13,49100.0,1900000000.0,Indonesia,0.0,139300.0,0.359020618556701,0.003590206185567,141791.0447761194,139300.0,,,17.473930830366697,9.503084610020228,21.36511972364512,11.844392338493028,,,,,,,,,0,139300.0,17.473930830366697,11.844392338493027,21.365119723645122,4.330733340286331,q1_small,10
161,wizkhalifa,80,500.0,38700000.0,398700.0,0.31,115700.0,199800000.0,United States,0.0,398700.0,1.0302325581395348,0.0103023255813953,399600.0,398700.0,,,17.471350183839803,6.2166061010848646,19.11282742918373,12.895967041517792,,,,,,,,,0,398700.00000000006,17.471350183839803,12.895967041517792,19.11282742918373,4.394449154672439,q1_small,10
162,hm,83,7300.0,38500000.0,88400.0,0.06,22400.0,644100000.0,Sweden,0.0,88400.0,0.2296103896103896,0.0022961038961038,88232.87671232877,88400.0,,,17.46616882523204,8.895766604056085,20.283364553069674,11.389638560778948,,,,,,,,,0,88400.0,17.46616882523204,11.389638560778947,20.283364553069674,4.430816798843313,q1_small,2
163,anushkasen0408,85,5300.0,38300000.0,695400.0,1.75,658300.0,3700000000.0,Unknown,0.0,695400.0,1.8156657963446476,0.0181566579634464,698113.2075471698,695400.0,,,17.460960480260535,8.575650760987806,22.03159865686686,13.452243936576147,,,,,,,,,0,695400.0,17.460960480260535,13.452243936576147,22.03159865686686,4.454347296253507,q1_small,14
164,prattprattpratt,84,730.0,38300000.0,813500.0,1.0,363800.0,594700000.0,Unknown,0.0,813500.0,2.1240208877284594,0.0212402088772845,814657.5342465753,813500.0,,,17.460960480260535,6.594413459749778,20.203567636358343,13.609102434896776,,,,,,,,,0,813500.0,17.460960480260535,13.609102434896775,20.203567636358343,4.442651256490317,q1_small,15
165,marvelstudios,83,2700.0,38100000.0,594200.0,1.58,555900.0,1600000000.0,Unknown,0.0,594200.0,1.5595800524934382,0.0155958005249343,592592.5925925926,594200.0,,,17.455724866343648,7.901377353792616,21.193269466817146,13.294972924944268,,,,,,,,,0,594200.0,17.455724866343648,13.294972924944267,21.193269466817146,4.430816798843313,q1_small,13
166,wesleysafadao,80,8900.0,37400000.0,256100.00000000003,0.02,0.0,2300000000.0,Unknown,0.0,256100.00000000003,0.6847593582887701,0.0068475935828877,258426.96629213484,256100.00000000003,,,17.437181289122726,9.093918908958932,21.556174960316294,12.45332717690471,,,,,,,,,0,256100.00000000003,17.437181289122726,12.45332717690471,21.556174960316298,4.394449154672439,q1_small,13
167,parineetichopra,84,1300.0,37400000.0,505700.0,0.68,246900.0,672100000.0,Unknown,0.0,505700.0,1.3521390374331552,0.0135213903743315,517000.0,505700.0,,,17.437181289122726,7.170888478512505,20.325917698428068,13.13370086452311,,,,,,,,,0,505700.0,17.437181289122726,13.13370086452311,20.325917698428068,4.442651256490317,q1_small,15
