rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate,followers_log1p,avg_likes_log1p,total_likes_log1p,influence_score_log1p,follower_bin,channel_info_len
1,cristiano,92,3300.0,475800000.0,8700000.0,1.39,6500000.0,29000000000.0,Spain,0.0,8700000.0,1.828499369482976,0.0182849936948297,8787878.787878787,8700000.0,,,19.980508157934853,8.101980731853192,24.090561666967368,15.978833698567334,,,,,,,,,0,8700000.0,19.980508157934853,15.978833698567334,24.090561666967368,4.532599493153256,q4_large,9
2,kyliejenner,91,6900.0,366200000.0,8300000.000000001,1.62,5900000.0,57400000000.0,United States,0.0,8300000.000000001,2.2665210267613327,0.0226652102676133,8318840.579710145,8300000.000000001,,,19.718690192935437,8.839421607620602,24.773310140289357,15.931766193248746,,,,,,,,,0,8300000.000000001,19.718690192935433,15.931766193248746,24.773310140289354,4.5217885770490405,q4_large,11
3,leomessi,90,890.0,357300000.0,6800000.0,1.24,4400000.0,6000000000.0,Unknown,0.0,6800000.0,1.9031626084522808,0.0190316260845228,6741573.0337078655,6800000.0,,,19.694086325792405,6.792344427470809,22.515025306341133,15.732433317205148,,,,,,,,,0,6799999.999999999,19.694086325792405,15.732433317205148,22.515025306341133,4.51085950651685,q4_large,8
4,selenagomez,93,1800.0,342700000.0,6200000.0,0.97,3300000.0,11500000000.0,United States,0.0,6200000.0,1.8091625328275456,0.0180916253282754,6388888.888888889,6200000.0,,,19.65236598976284,7.496097345175956,23.165612872402573,15.64006001130563,,,,,,,,,0,6200000.0,19.652365989762842,15.64006001130563,23.165612872402573,4.543294782270004,q4_large,11
5,therock,91,6800.0,334100000.0,1900000.0,0.2,665300.0,12500000000.0,United States,0.0,1900000.0,0.5686920083807243,0.0056869200838072,1838235.294117647,1900000.0,,,19.6269509103201,8.824824939175638,23.248994481334663,14.45736497045232,,,,,,,,,0,1900000.0,19.6269509103201,14.45736497045232,23.248994481334666,4.5217885770490405,q4_large,7
6,kimkardashian,91,5600.0,329200000.0,3500000.0,0.88,2900000.0,19900000000.0,United States,0.0,3500000.0,1.06318347509113,0.0106318347509113,3553571.4285714286,3500000.0,,,19.612176029804857,8.630700432209832,23.71398556872711,15.068273812173889,,,,,,,,,0,3500000.0,19.612176029804857,15.068273812173887,23.71398556872711,4.5217885770490405,q4_large,13
7,arianagrande,92,5000.0,327700000.0,3700000.0,1.2,3900000.0,18400000000.0,United States,0.0,3700000.0,1.1290814769606348,0.0112908147696063,3680000.0,3700000.0,,,19.607609116720614,8.517393171418904,23.635616501615697,15.123843647884687,,,,,,,,,0,3700000.0,19.607609116720614,15.123843647884687,23.635616501615697,4.532599493153256,q4_large,12
8,beyonce,92,2000.0,272800000.0,3600000.0,0.76,2000000.0,7400000000.0,United States,0.0,3600000.0,1.3196480938416422,0.0131964809384164,3700000.0,3600000.0,,,19.42424948759927,7.601402334583733,22.72474583729167,15.096444681204078,,,,,,,,,0,3600000.0,19.42424948759927,15.096444681204078,22.72474583729167,4.532599493153256,q4_large,7
9,khloekardashian,89,4100.0,268300000.0,2400000.0,0.35,926900.0,9800000000.0,United States,0.0,2400000.0,0.8945210585165859,0.0089452105851658,2390243.9024390243,2400000.0,,,19.407616319123026,8.31898612539206,23.00564822272498,14.690979711984754,,,,,,,,,0,2400000.0,19.407616319123022,14.690979711984754,23.00564822272498,4.499809670330265,q4_large,15
10,justinbieber,91,7400.0,254500000.0,1900000.0,0.59,1500000.0,13900000000.0,Canada,0.0,1900000.0,0.7465618860510805,0.0074656188605108,1878378.3783783785,1900000.0,,,19.354811397884124,8.909370405197466,23.355154677155,14.45736497045232,,,,,,,,,0,1900000.0,19.354811397884124,14.45736497045232,23.355154677155,4.5217885770490405,q4_large,12
11,kendalljenner,90,660.0,254000000.0,5500000.0,2.04,5100000.0,3700000000.0,United States,0.0,5500000.0,2.1653543307086616,0.0216535433070866,5606060.606060606,5500000.0,,,19.352844828919817,6.493753839851686,22.03159865686686,15.520258832020865,,,,,,,,,0,5500000.0,19.352844828919817,15.520258832020865,22.03159865686686,4.51085950651685,q4_large,13
12,natgeo,91,10000.0,237000000.0,302200.0,0.07,159300.0,3000000000.0,United States,0.0,302200.0,0.1275105485232067,0.001275105485232,300000.0,302200.0,,,19.283570703318816,9.210440366976515,21.82187812594785,12.618847637882144,,,,,,,,,0,302200.0,19.283570703318816,12.618847637882144,21.821878125947855,4.5217885770490405,q4_large,6
13,nike,90,950.0,234100000.0,329000.0,0.08,181800.0,313600000.0,United States,0.0,329000.0,0.1405382315249893,0.0014053823152498,330105.2631578947,329000.0,,,19.271258936732817,6.85751406254539,19.563628849629303,12.703816069256568,,,,,,,,,0,329000.0,19.271258936732817,12.703816069256568,19.563628849629303,4.51085950651685,q4_large,4
14,taylorswift,91,530.0,222200000.0,2400000.0,1.01,2300000.0,1300000000.0,United States,0.0,2400000.0,1.08010801080108,0.0108010801080108,2452830.1886792453,2400000.0,,,19.21908843967025,6.274762021241939,20.985630102183134,14.690979711984754,,,,,,,,,0,2400000.0,19.219088439670255,14.690979711984754,20.985630102183134,4.5217885770490405,q4_large,11
15,jlo,89,3200.0,220400000.0,1700000.0,0.62,1400000.0,5300000000.0,United States,0.0,1700000.0,0.7713248638838476,0.0077132486388384,1656250.0,1700000.0,,,19.21095463978024,8.071218539969863,22.390972657693165,14.346139397261563,,,,,,,,,0,1700000.0,19.210954639780237,14.346139397261565,22.390972657693165,4.499809670330265,q4_large,3
16,virat.kohli,87,1400.0,211800000.0,3500000.0,0.96,2000000.0,4900000000.0,Unknown,0.0,3500000.0,1.6525023607176583,0.0165250236071765,3500000.0,3500000.0,,,19.171152995853017,7.244941546337007,22.312501042267076,15.068273812173889,,,,,,,,,0,3500000.0000000005,19.171152995853017,15.068273812173887,22.312501042267073,4.477336814478207,q4_large,11
17,nickiminaj,90,6400.0,201600000.0,2100000.0,0.53,1000000.0,13500000000.0,United States,0.0,2100000.0,1.0416666666666663,0.0104166666666666,2109375.0,2100000.0,,,19.12179609912181,8.764209507142004,23.32595552246487,14.557448378884017,,,,,,,,,0,2100000.0,19.121796099121806,14.557448378884015,23.32595552246487,4.51085950651685,q4_large,10
18,kourtneykardash,89,4400.0,195200000.0,1800000.0,0.67,1300000.0,7700000000.0,United States,0.0,1800000.0,0.9221311475409836,0.0092213114754098,1750000.0,1800000.0,,,19.08953523706622,8.38958706681109,22.76448616593592,14.403297778421797,,,,,,,,,0,1800000.0,19.08953523706622,14.403297778421795,22.76448616593592,4.499809670330265,q4_large,15
19,mileycyrus,89,1200.0,181500000.0,1300000.0,0.51,913600.0,1600000000.0,Unknown,0.0,1300000.0,0.7162534435261708,0.0071625344352617,1333333.3333333333,1300000.0,,,19.016766217178823,7.090909822079984,21.193269466817146,14.077875591662238,,,,,,,,,0,1300000.0,19.016766217178823,14.077875591662238,21.193269466817146,4.499809670330265,q4_large,10
20,neymarjr,90,5300.0,177100000.0,2700000.0,1.09,1900000.0,14100000000.0,Brazil,0.0,2700000.0,1.5245623941276116,0.0152456239412761,2660377.3584905663,2700000.0,,,18.99222510839959,8.575650760987806,23.369440634401457,14.80876270134486,,,,,,,,,0,2700000.0,18.99222510839959,14.80876270134486,23.369440634401457,4.51085950651685,q4_large,8
21,katyperry,92,2000.0,170300000.0,715000.0,0.16,265100.0,1500000000.0,Unknown,0.0,715000.0,0.4198473282442748,0.0041984732824427,750000.0,715000.0,,,18.95307215150491,7.601402334583733,21.12873094572124,13.480039220276565,,,,,,,,,0,715000.0,18.95307215150491,13.480039220276565,21.12873094572124,4.532599493153256,q4_large,9
22,kevinhart4real,88,8200.0,152000000.0,522000.0,0.08,115200.0,4300000000.0,United States,0.0,522000.0,0.3434210526315789,0.0034342105263157,524390.243902439,522000.0,,,18.839391085389497,9.012011377036412,22.181880859878486,13.165424782571751,,,,,,,,,0,522000.0,18.839391085389497,13.165424782571753,22.181880859878486,4.48863636973214,q4_large,14
23,zendaya,87,3500.0,150700000.0,5800000.0,3.17,4800000.0,20600000000.0,United States,0.0,5800000.0,3.8487060384870606,0.0384870603848706,5885714.285714285,5800000.0,,,18.830801670232425,8.160803920954665,23.74855691279049,15.573368647930426,,,,,,,,,0,5800000.0,18.830801670232425,15.573368647930426,23.74855691279049,4.477336814478207,q4_large,7
24,iamcardib,75,1600.0,140500000.0,3100000.0,1.1,1500000.0,5000000000.0,United States,0.0,3100000.0,2.206405693950178,0.0220640569395017,3125000.0,3100000.0,,,18.760718053855516,7.378383712996714,22.33270374958051,14.946912992035967,,,,,,,,,0,3100000.0,18.760718053855513,14.946912992035967,22.33270374958051,4.330733340286331,q4_large,9
25,ddlovato,88,80.0,139100000.0,1100000.0,0.27,363400.0,91300000.0,United States,0.0,1100000.0,0.7907979870596693,0.0079079798705966,1141250.0,1100000.0,,,18.750703664082742,4.394449154672439,18.3296613565181,13.910821646859096,,,,,,,,,0,1100000.0,18.750703664082742,13.910821646859095,18.3296613565181,4.48863636973214,q4_large,8
26,badgalriri,88,4800.0,135300000.0,3700000.0,0.02,0.0,17900000000.0,United States,0.0,3700000.0,2.7346637102734666,0.0273466371027346,3729166.6666666665,3700000.0,,,18.723005100532,8.476579508530941,23.608066549848985,15.123843647884687,,,,,,,,,0,3700000.0,18.723005100532,15.123843647884687,23.608066549848985,4.48863636973214,q4_large,10
27,kingjames,86,2300.0,130900000.0,2100000.0,0.92,1200000.0,4900000000.0,Unknown,0.0,2100000.0,1.6042780748663104,0.0160427807486631,2130434.782608696,2100000.0,,,18.689944238519548,7.741099090035366,22.312501042267076,14.557448378884017,,,,,,,,,0,2100000.0,18.689944238519548,14.557448378884015,22.312501042267073,4.465908118654584,q4_large,9
28,theellenshow,87,10000.0,125100000.0,420500.0,0.07,81700.0,4200000000.0,United States,0.0,420500.0,0.3361310951239009,0.003361310951239,420000.0,420500.0,,,18.644623983430744,9.210440366976515,22.15835036247383,12.949202136513597,,,,,,,,,0,420500.0,18.644623983430744,12.949202136513597,22.15835036247383,4.477336814478207,q4_large,12
29,realmadrid,90,6900.0,123400000.0,996200.0,0.48,588300.0,6800000000.0,Spain,0.0,996200.0,0.8072933549432739,0.0080729335494327,985507.2463768116,996200.0,,,18.63094167753929,8.839421607620602,22.64018844927553,13.811704323435311,,,,,,,,,0,996200.0,18.63094167753929,13.811704323435311,22.64018844927553,4.51085950651685,q4_large,10
30,champagnepapi,85,5200.0,119600000.0,1700000.0,1.1,1300000.0,9000000000.0,Netherlands,0.0,1700000.0,1.4214046822742474,0.0142140468227424,1730769.2307692308,1700000.0,,,18.59966340784201,8.556606193773073,22.920490414393743,14.346139397261563,,,,,,,,,0,1700000.0,18.59966340784201,14.346139397261565,22.920490414393743,4.454347296253507,q4_large,13
31,chrisbrownofficial,86,7300.0,118500000.0,463200.0,0.22,255900.0,3400000000.0,United States,0.0,463200.0,0.3908860759493671,0.0039088607594936,465753.4246575342,463200.0,,,18.59042352697828,8.895766604056085,21.947041268862645,13.045916364133236,,,,,,,,,0,463200.00000000006,18.590423526978277,13.045916364133237,21.947041268862645,4.465908118654584,q4_large,18
32,fcbarcelona,90,10000.0,111400000.0,1200000.0,0.64,706300.0,11600000000.0,Unknown,0.0,1200000.0,1.0771992818671454,0.0107719928186714,1160000.0,1200000.0,,,18.52863789443412,9.210440366976515,23.174270935144936,13.997832948091215,,,,,,,,,0,1200000.0,18.52863789443412,13.997832948091215,23.174270935144936,4.51085950651685,q4_large,11
33,billieeilish,73,690.0,105200000.0,8500000.0,5.02,5200000.0,5900000000.0,Unknown,0.0,8500000.0,8.079847908745247,0.0807984790874524,8550724.63768116,8500000.0,,,18.471373867773583,6.53813982376767,22.498218188027572,15.955576839107596,,,,,,,,,0,8500000.0,18.471373867773586,15.955576839107596,22.498218188027575,4.30406509320417,q4_large,12
34,dualipa,74,1300.0,85900000.0,2100000.0,1.26,1100000.0,2600000000.0,United Kingdom,0.0,2100000.0,2.444703143189756,0.0244470314318975,2000000.0,2100000.0,,,18.26869439859593,7.170888478512505,21.678777282358464,14.557448378884017,,,,,,,,,0,2100000.0,18.268694398595926,14.557448378884015,21.678777282358464,4.31748811353631,q4_large,7
35,gal_gadot,85,1700.0,85600000.0,1400000.0,0.69,586500.0,2300000000.0,United States,0.0,1400000.0,1.6355140186915886,0.0163551401869158,1352941.1764705882,1400000.0,,,18.26519585279421,7.438971592395862,21.556174960316294,14.151983508870948,,,,,,,,,0,1399999.9999999998,18.265195852794214,14.151983508870947,21.556174960316298,4.454347296253507,q4_large,9
36,vindiesel,88,1800.0,82300000.0,1400000.0,0.6,482300.0,2500000000.0,United States,0.0,1400000.0,1.701093560145808,0.017010935601458,1388888.888888889,1400000.0,,,18.225881677797968,7.496097345175956,21.639556569220566,14.151983508870948,,,,,,,,,0,1400000.0,18.225881677797968,14.151983508870947,21.639556569220566,4.48863636973214,q4_large,9
37,nasa,88,3600.0,81300000.0,1200000.0,1.53,1200000.0,4200000000.0,United States,0.0,1200000.0,1.4760147601476017,0.014760147601476,1166666.6666666667,1200000.0,,,18.21365658681816,8.188966863648876,22.15835036247383,13.997832948091215,,,,,,,,,0,1200000.0,18.21365658681816,13.997832948091215,22.15835036247383,4.48863636973214,q4_large,4
38,priyankachopra,85,3600.0,81100000.0,1600000.0,1.0,802900.0,5600000000.0,United States,0.0,1600000.0,1.972872996300863,0.0197287299630086,1555555.5555555555,1600000.0,,,18.211193531416097,8.188966863648876,22.446032434866087,14.285514812209817,,,,,,,,,0,1600000.0,18.211193531416097,14.285514812209815,22.446032434866087,4.454347296253507,q4_large,14
39,lalalalisa_m,70,870.0,80900000.0,5800000.0,9.0,7200000.0,5100000000.0,Unknown,0.0,5800000.0,7.169344870210136,0.0716934487021013,5862068.9655172415,5800000.0,,,18.20872439438966,6.769641976852503,22.35250637687277,15.573368647930426,,,,,,,,,0,5800000.0,18.20872439438966,15.573368647930426,22.35250637687277,4.2626798770413155,q4_large,12
40,Shakira,88,2000.0,76100000.0,975100.0,0.41,304700.0,1900000000.0,Unknown,0.0,975100.0,1.281340341655716,0.0128134034165571,950000.0,975100.0,,,18.14755883597252,7.601402334583733,21.36511972364512,13.790296334358526,,,,,,,,,0,975100.0,18.147558835972518,13.790296334358526,21.365119723645122,4.48863636973214,q4_large,7
41,snoopdogg,86,10000.0,75300000.0,203700.0,0.17,125800.0,2000000000.0,Unknown,0.0,203700.0,0.2705179282868525,0.0027051792828685,200000.0,203700.0,,,18.136990706050334,9.210440366976515,21.41641301800636,12.224408511383016,,,,,,,,,0,203700.0,18.136990706050334,12.224408511383015,21.416413018006356,4.465908118654584,q4_large,9
42,gigihadid,85,3300.0,75300000.0,2500000.0,2.56,1900000.0,8199999999.999999,United States,0.0,2500000.0,3.3200531208499333,0.0332005312084993,2484848.4848484844,2500000.0,,,18.136990706050334,8.101980731853192,22.82739999133857,14.731801689838347,,,,,,,,,0,2500000.0,18.136990706050334,14.731801689838349,22.82739999133857,4.454347296253507,q4_large,9
43,davidbeckham,86,1500.0,74900000.0,1200000.0,0.46,340900.0,1900000000.0,United States,0.0,1200000.0,1.602136181575434,0.0160213618157543,1266666.6666666667,1200000.0,,,18.131664461838582,7.313886831633462,21.36511972364512,13.997832948091215,,,,,,,,,0,1200000.0,18.131664461838582,13.997832948091215,21.365119723645122,4.465908118654584,q4_large,12
44,shraddhakapoor,81,1900.0,73900000.0,1600000.0,1.17,859900.0,3000000000.0,Unknown,0.0,1600000.0,2.165087956698241,0.0216508795669824,1578947.3684210526,1600000.0,,,18.11822339945023,7.550135342488429,21.82187812594785,14.285514812209817,,,,,,,,,0,1600000.0000000002,18.11822339945023,14.285514812209815,21.821878125947855,4.406719247264253,q4_large,14
45,victoriassecret,88,2900.0,73200000.0,147000.0,0.04,29800.0,423500000.0,United States,0.0,147000.0,0.2008196721311475,0.0020081967213114,146034.4827586207,147000.0,,,18.108705992592743,7.972810784121404,19.86406407441766,11.898194668458824,,,,,,,,,0,147000.0,18.108705992592743,11.898194668458823,19.86406407441766,4.48863636973214,q4_large,15
46,k.mbappe,86,1200.0,72700000.0,2500000.0,2.16,1600000.0,2800000000.0,Unknown,0.0,2500000.0,3.43878954607978,0.0343878954607978,2333333.333333333,2500000.0,,,18.101851956258905,7.090909822079984,21.752885254484717,14.731801689838347,,,,,,,,,0,2500000.0,18.101851956258905,14.731801689838349,21.752885254484713,4.465908118654584,q4_large,8
47,nehakakkar,84,2300.0,70400000.0,1500000.0,0.54,370100.0,3500000000.0,India,0.0,1500000.0,2.130681818181818,0.0213068181818181,1521739.1304347827,1500000.0,,,18.069703835332817,7.741099090035366,21.97602880572749,14.220976332738882,,,,,,,,,0,1500000.0,18.069703835332817,14.220976332738882,21.976028805727495,4.442651256490317,q4_large,10
48,nba,87,12900.0,70100000.0,370800.0,0.28,196900.0,4800000000.0,United States,0.0,370800.0,0.5289586305278174,0.0052895863052781,372093.0232558139,370800.0,,,18.065433366270156,9.465060106725137,22.29188175506859,12.82342080954183,,,,,,,,,0,370800.0,18.065433366270153,12.82342080954183,22.29188175506859,4.477336814478207,q4_large,3
49,shawnmendes,83,2500.0,69900000.0,3500000.0,2.87,2000000.0,8800000000.0,Canada,0.0,3500000.0,5.007153075822604,0.050071530758226,3520000.0,3500000.0,,,18.06257622151019,7.824445930877619,22.898017558544208,15.068273812173889,,,,,,,,,0,3500000.0,18.06257622151019,15.068273812173887,22.898017558544208,4.430816798843313,q4_large,11
50,jennierubyjane,76,860.0,68900000.0,5100000.0,8.36,5700000.0,4400000000.0,Unknown,0.0,5100000.0,7.402031930333817,0.0740203193033381,5116279.069767442,5100000.0,,,18.048166750497675,6.7580945044277305,22.2048703780979,15.444751293772969,,,,,,,,,0,5100000.0,18.048166750497675,15.444751293772967,22.2048703780979,4.343805421853684,q3,14
51,narendramodi,85,540.0,68900000.0,2900000.0,3.01,2000000.0,1600000000.0,India,0.0,2900000.0,4.208998548621191,0.0420899854862119,2962962.962962963,2900000.0,,,18.048166750497675,6.293419278846481,21.193269466817146,14.88022163978423,,,,,,,,,0,2900000.0,18.048166750497675,14.88022163978423,21.193269466817146,4.454347296253507,q3,12
52,aliaabhatt,82,1800.0,68700000.0,1800000.0,3.14,2100000.0,3300000000.0,India,0.0,1800000.0,2.6200873362445414,0.0262008733624454,1833333.3333333333,1800000.0,,,18.04525977174862,7.496097345175956,21.91718830572188,14.403297778421797,,,,,,,,,0,1800000.0,18.04525977174862,14.403297778421795,21.917188305721876,4.418840607796598,q3,10
53,deepikapadukone,83,260.0,68400000.0,1600000.0,2.23,1500000.0,419000000.0,India,0.0,1600000.0,2.3391812865497075,0.023391812865497,1611538.4615384615,1600000.0,,,18.04088339721266,5.564520407322694,19.853381480273047,14.285514812209817,,,,,,,,,0,1600000.0,18.04088339721266,14.285514812209815,19.853381480273047,4.430816798843313,q3,15
54,tomholland2013,77,1200.0,67700000.0,5400000.0,10.83,7300000.0,6600000000.0,Unknown,0.0,5400000.0,7.976366322008863,0.0797636632200886,5500000.0,5400000.0,,,18.03059675265355,7.090909822079984,22.610335486130307,15.501909696719672,,,,,,,,,0,5400000.0,18.03059675265355,15.501909696719672,22.610335486130307,4.356708826689592,q3,14
55,ronaldinho,78,2900.0,67700000.0,872900.0,0.49,325700.0,2600000000.0,Brazil,0.0,872900.0,1.2893648449039885,0.0128936484490398,896551.724137931,872900.0,,,18.03059675265355,7.972810784121404,21.678777282358464,13.679577426329384,,,,,,,,,0,872900.0,18.03059675265355,13.679577426329384,21.678777282358464,4.3694478524670215,q3,10
56,emmawatson,87,340.0,67300000.0,1900000.0,0.01,0.0,639000000.0,United States,0.0,1900000.0,2.823179791976226,0.0282317979197622,1879411.7647058824,1900000.0,,,18.0246708094738,5.831882477283517,20.275415013906755,14.45736497045232,,,,,,,,,0,1900000.0,18.024670809473797,14.45736497045232,20.275415013906755,4.477336814478207,q3,10
57,bts.bighitofficial,78,1200.0,66900000.00000001,4100000.0,5.4,3600000.0,4900000000.0,Uruguay,0.0,4100000.0,6.128550074738414,0.0612855007473841,4083333.3333333335,4100000.0,,,18.01870954004614,7.090909822079984,22.312501042267076,15.226497775576943,,,,,,,,,0,4100000.0,18.01870954004614,15.226497775576945,22.312501042267073,4.3694478524670215,q3,18
58,katrinakaif,85,1000.0,66300000.0,1700000.0,2.25,1500000.0,1700000000.0,India,0.0,1700000.0,2.564102564102564,0.0256410256410256,1700000.0,1700000.0,,,18.009700470239046,6.90875477931522,21.253894088596816,14.346139397261563,,,,,,,,,0,1700000.0,18.009700470239046,14.346139397261565,21.253894088596816,4.454347296253507,q3,11
59,marvel,82,7000.0,66200000.0,332300.0,0.51,339000.0,2300000000.0,Turkey,0.0,332300.0,0.501963746223565,0.0050196374622356,328571.4285714286,332300.0,,,18.008191036012978,8.853808274977197,21.556174960316294,12.713796463667077,,,,,,,,,0,332300.0,18.008191036012978,12.713796463667077,21.556174960316298,4.418840607796598,q3,6
60,justintimberlake,87,780.0,65900000.00000001,600400.0,0.3,189400.0,470700000.0,United States,0.0,600400.0,0.9110773899848256,0.0091107738998482,603461.5384615385,600400.0,,,18.00364901464724,6.660575149839686,19.969731508495865,13.305353044296352,,,,,,,,,0,600400.0,18.00364901464724,13.305353044296353,19.969731508495865,4.477336814478207,q3,16
