feature,importance
10,0.5871063211178471
11,0.07745969739311409
16,0.060378471440307495
12,0.053092499676841196
9,0.04349871213741751
20,0.03855931211067108
18,0.03389448111873707
6,0.029941394080303236
4,0.029679883478250905
5,0.021944913331293666
14,0.00848999229705955
23,0.006549462797468021
2,0.005083682411404523
0,0.0016596883137694719
7,0.00062820656090462
21,0.0003811830175820795
15,0.000360873339009722
22,0.00031183526613038585
13,0.00023472810952328128
19,0.00021371280540109468
1,0.00019300074833008844
3,0.00018591901652661988
32,5.560736594360748e-05
27,5.2248232909704745e-05
30,3.454287148585646e-05
24,7.95193188065744e-06
26,1.0509538899471301e-06
25,2.3156066493048111e-07
31,1.8554121931714637e-07
28,1.7906621129295362e-07
29,3.190790200606836e-08
8,0.0
17,0.0
